,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
C(metric)[T.lcss]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.077,0.071,-1.087,0.277,-0.217,0.062
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.032,0.071,-0.448,0.655,-0.171,0.107
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.020,0.071,-0.285,0.776,-0.160,0.119
C(metric)[T.msm]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.033,0.071,-0.458,0.647,-0.172,0.107
C(metric)[T.sbd]:C(classifier)[T.svm]:C(intensity)[T.0.1],0.008,0.071,0.118,0.906,-0.131,0.148
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.001,0.071,-0.021,0.984,-0.141,0.138
C(metric)[T.twe]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.042,0.071,-0.585,0.558,-0.181,0.098
C(metric)[T.wddtw]:C(classifier)[T.svm]:C(intensity)[T.0.1],0.125,0.071,1.753,0.080,-0.015,0.264
C(metric)[T.wdtw]:C(classifier)[T.svm]:C(intensity)[T.0.1],-0.019,0.071,-0.263,0.792,-0.158,0.121
C(metric)[T.ddtw]:C(classifier)[T.svm]:C(intensity)[T.0.2],0.073,0.071,1.031,0.302,-0.066,0.213
C(metric)[T.dtw]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.005,0.071,-0.064,0.949,-0.144,0.135
C(metric)[T.edr]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.015,0.071,-0.216,0.829,-0.155,0.124
C(metric)[T.erp]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.042,0.071,-0.594,0.553,-0.181,0.097
C(metric)[T.euclidean]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.037,0.071,-0.514,0.607,-0.176,0.103
C(metric)[T.lcss]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.102,0.071,-1.430,0.153,-0.241,0.038
C(metric)[T.manhattan]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.044,0.071,-0.622,0.534,-0.183,0.095
C(metric)[T.minkowski]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.037,0.071,-0.514,0.607,-0.176,0.103
C(metric)[T.msm]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.047,0.071,-0.668,0.504,-0.187,0.092
C(metric)[T.sbd]:C(classifier)[T.svm]:C(intensity)[T.0.2],0.003,0.071,0.049,0.961,-0.136,0.143
C(metric)[T.shape_dtw]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.004,0.071,-0.053,0.958,-0.143,0.136
C(metric)[T.twe]:C(classifier)[T.svm]:C(intensity)[T.0.2],-0.049,0.071,-0.688,0.492,-0.188,0.090
